Branch_ID,Region,Date,Cash_Deposits,Cash_Withdrawals,Opening_Balance,Closing_Balance,Cash_Shortage_Flag
B16,South,2024-02-03,448448.0,272259.0,749939.0,926128,0
B15,South,2024-02-04,102691.0,401652.0,502107.0,203146,0
B47,North,2024-02-05,129768.0,122464.0,344811.0,352115,0
B44,East,2024-02-06,468829.0,330886.0,330697.0,468640,0
B3,West,2024-02-07,64026.0,51831.0,379428.0,391623,0
B37,West,2024-02-08,496751.0,153768.0,726077.0,1069060,0
B7,East,2024-02-09,275162.0,286983.0,461413.0,449592,0
B21,West,2024-02-10,343052.0,387236.0,368678.0,324494,0
B9,North,2024-02-11,495329.0,393023.0,631856.0,734162,0
B39,West,2024-02-12,69610.0,390514.0,768423.0,447519,0
B18,South,2024-02-13,227718.0,428681.0,237067.0,36104,1
B4,East,2024-02-14,375329.0,144824.0,,601428,0
B25,North,2024-02-15,384711.0,128741.0,500406.0,756376,0
B14,East,2024-02-16,228646.0,58830.0,717961.0,887777,0
B50,North,2024-02-17,272123.0,357188.0,407925.0,322860,0
B9,South,2024-02-18,348326.0,376092.0,614750.0,586984,0
B26,East,2024-02-19,428280.0,109202.0,694649.0,1013727,0
B2,West,2024-02-20,443786.0,339189.0,363944.0,468541,0
B20,North,2024-02-21,69288.0,257394.0,698953.0,510847,0
B28,East,2024-02-22,390968.0,242123.0,793391.0,942236,0
B47,West,2024-02-23,473093.0,409653.0,681947.0,745387,0
B7,East,2024-02-24,134425.0,197699.0,709085.0,645811,0
B44,East,2024-02-25,50917.0,317342.0,761700.0,495275,0
B8,East,2024-02-26,,371665.0,509878.0,525959,0
B47,North,2024-02-27,376719.0,146471.0,702850.0,933098,0
B35,West,2024-02-28,384662.0,331619.0,549937.0,602980,0
B14,South,2024-02-29,,276824.0,695054.0,721417,0
B17,North,2024-03-01,,59403.0,222228.0,251929,0
B36,North,2024-03-02,199134.0,43681.0,320627.0,476080,0
B50,North,2024-03-03,329143.0,393699.0,540068.0,475512,0
B40,South,2024-03-04,312091.0,421028.0,735607.0,626670,0
B4,West,2024-03-05,453157.0,395266.0,206475.0,264366,0
B2,West,2024-03-06,111169.0,155260.0,441382.0,397291,0
B6,West,2024-03-07,204542.0,213364.0,558780.0,549958,0
B42,East,2024-03-08,179744.0,145386.0,716187.0,750545,0
B4,East,2024-03-09,422828.0,273378.0,631915.0,781365,0
B29,East,2024-03-10,109821.0,438845.0,630037.0,301013,0
B18,South,2024-03-11,267741.0,133246.0,492759.0,627254,0
B26,East,2024-03-12,299265.0,135864.0,679673.0,843074,0
B44,South,2024-03-13,487651.0,248886.0,463389.0,702154,0
B34,West,2024-03-14,447745.0,310561.0,317408.0,454592,0
B10,East,2024-03-15,264127.0,421032.0,489776.0,332871,0
B36,East,2024-03-16,,205837.0,387965.0,506464,0
B14,North,2024-03-17,386246.0,376643.0,432298.0,441901,0
B31,South,2024-03-18,253834.0,433052.0,792337.0,613119,0
B48,West,2024-03-19,284538.0,285160.0,404829.0,404207,0
B15,North,2024-03-20,427038.0,227646.0,517798.0,717190,0
B8,North,2024-03-21,136795.0,299278.0,402646.0,240163,0
B14,West,2024-03-22,215159.0,329819.0,690783.0,576123,0
B23,North,2024-03-23,378821.0,296681.0,258601.0,340741,0
B40,South,2024-03-24,185699.0,211635.0,346154.0,320218,0
B21,South,2024-03-25,499757.0,51332.0,365640.0,814065,0
B16,East,2024-03-26,293877.0,294817.0,664710.0,663770,0
B45,North,2024-03-27,249298.0,321321.0,469580.0,397557,0
B18,East,2024-03-28,,432704.0,548857.0,562624,0
B47,North,2024-03-29,238505.0,260326.0,224544.0,202723,0
B24,South,2024-03-30,186285.0,239519.0,263295.0,210061,0
B26,South,2024-03-31,152412.0,301849.0,605854.0,456417,0
B25,South,2024-04-01,69404.0,359248.0,,-20435,1
B45,North,2024-04-02,166545.0,386479.0,721998.0,502064,0
B41,South,2024-04-03,468596.0,,575903.0,627417,0
B29,North,2024-04-04,272128.0,120730.0,479301.0,630699,0
B15,East,2024-04-05,200245.0,438167.0,376637.0,138715,0
B45,North,2024-04-06,234099.0,277474.0,,746801,0
B1,East,2024-04-07,336133.0,330477.0,387167.0,392823,0
B25,North,2024-04-08,311657.0,323817.0,680338.0,668178,0
B7,East,2024-04-09,420250.0,416565.0,,208192,0
B9,South,2024-04-10,336663.0,,243988.0,499781,0
B24,East,2024-04-11,306875.0,293017.0,560565.0,574423,0
B1,South,2024-04-12,334583.0,167536.0,564735.0,731782,0
B44,South,2024-04-13,430714.0,373245.0,591758.0,649227,0
B8,East,2024-04-14,64995.0,324965.0,227213.0,-32757,1
B24,North,2024-04-15,73559.0,65494.0,257450.0,265515,0
B11,North,2024-04-16,401193.0,139477.0,597693.0,859409,0
B17,West,2024-04-17,448237.0,428227.0,786510.0,806520,0
B8,North,2024-04-18,148000.0,245232.0,718728.0,621496,0
B35,West,2024-04-19,202191.0,414842.0,212755.0,104,1
B35,North,2024-04-20,494755.0,413704.0,342245.0,423296,0
B33,North,2024-04-21,351494.0,434051.0,389977.0,307420,0
B5,South,2024-04-22,489439.0,320790.0,369169.0,537818,0
B42,West,2024-04-23,75517.0,163777.0,495515.0,407255,0
B39,North,2024-04-24,,117360.0,435132.0,783238,0
B41,West,2024-04-25,265558.0,339479.0,604470.0,530549,0
B28,South,2024-04-26,401276.0,371495.0,335090.0,364871,0
B7,South,2024-04-27,497415.0,417078.0,752631.0,832968,0
B9,West,2024-04-28,,,205829.0,404018,0
B8,South,2024-04-29,155686.0,344094.0,758669.0,570261,0
B12,East,2024-04-30,138151.0,100654.0,412153.0,449650,0
B34,East,2024-05-01,315471.0,409566.0,480407.0,386312,0
B33,South,2024-05-02,170318.0,412078.0,646476.0,404716,0
B48,East,2024-05-03,,159975.0,684427.0,997436,0
B23,North,2024-05-04,245490.0,239215.0,520562.0,526837,0
B24,West,2024-05-05,223860.0,393330.0,724436.0,554966,0
B37,North,2024-05-06,165945.0,406378.0,,556769,0
B35,West,2024-05-07,263456.0,142326.0,705111.0,826241,0
B44,South,2024-05-08,358974.0,117527.0,260653.0,502100,0
B40,North,2024-05-09,,388848.0,392593.0,106191,0
B22,South,2024-05-10,458376.0,206991.0,540459.0,791844,0
B27,South,2024-05-11,237655.0,136952.0,493219.0,593922,0
B35,West,2024-05-12,477214.0,362926.0,209795.0,324083,0
B1,West,2024-05-13,470446.0,373260.0,788843.0,886029,0
B35,West,2024-05-14,190148.0,391770.0,,233446,0
B37,North,2024-05-15,119341.0,186895.0,662970.0,595416,0
B47,East,2024-05-16,81085.0,86015.0,513673.0,508743,0
B14,West,2024-05-17,367715.0,142877.0,647454.0,872292,0
B3,West,2024-05-18,,317483.0,367022.0,507470,0
B1,North,2024-05-19,440452.0,174563.0,211009.0,476898,0
B5,West,2024-05-20,55750.0,433922.0,378168.0,-4,1
B26,North,2024-05-21,426075.0,137493.0,753669.0,1042251,0
B14,South,2024-05-22,390912.0,186800.0,589913.0,794025,0
B39,West,2024-05-23,85903.0,440213.0,526754.0,172444,0
B27,West,2024-05-24,253561.0,231480.0,268122.0,290203,0
B9,South,2024-05-25,475309.0,431670.0,530328.0,573967,0
B15,South,2024-05-26,141036.0,161648.0,633297.0,612685,0
B15,South,2024-05-27,137954.0,,414709.0,225356,0
B26,West,2024-05-28,477530.0,188790.0,252726.0,541466,0
B42,East,2024-05-29,491441.0,127508.0,615427.0,979360,0
B13,East,2024-05-30,395158.0,,388210.0,528529,0
B32,East,2024-05-31,478395.0,,504647.0,641279,0
B39,West,2024-06-01,167305.0,314270.0,377265.0,230300,0
B49,South,2024-06-02,468554.0,104926.0,720759.0,1084387,0
B32,West,2024-06-03,250753.0,80633.0,280857.0,450977,0
B4,South,2024-06-04,82101.0,248726.0,582601.0,415976,0
B30,West,2024-06-05,52775.0,,459405.0,468863,0
B37,West,2024-06-06,161497.0,347124.0,390128.0,204501,0
B23,South,2024-06-07,95619.0,346259.0,782994.0,532354,0
B39,East,2024-06-08,489054.0,232718.0,544950.0,801286,0
B45,South,2024-06-09,302388.0,345302.0,779294.0,736380,0
B15,North,2024-06-10,462755.0,227035.0,448018.0,683738,0
B43,North,2024-06-11,283346.0,220388.0,,726092,0
B29,South,2024-06-12,369268.0,407508.0,277271.0,239031,0
B36,West,2024-06-13,115149.0,317648.0,689464.0,486965,0
B13,North,2024-06-14,76616.0,239665.0,590166.0,427117,0
B32,North,2024-06-15,271767.0,339340.0,715631.0,648058,0
B7,West,2024-06-16,235639.0,368082.0,544359.0,411916,0
B22,West,2024-06-17,218171.0,441821.0,243013.0,19363,1
B28,East,2024-06-18,,359532.0,558243.0,455614,0
B2,West,2024-06-19,281318.0,252369.0,,544543,0
B42,South,2024-06-20,373943.0,95501.0,641144.0,919586,0
B45,South,2024-06-21,402365.0,224381.0,584784.0,762768,0
B6,East,2024-06-22,427023.0,67043.0,638598.0,998578,0
B28,North,2024-06-23,337623.0,73635.0,416110.0,680098,0
B28,North,2024-06-24,489388.0,250387.0,331832.0,570833,0
B44,West,2024-06-25,411309.0,120691.0,224142.0,514760,0
B44,South,2024-06-26,105863.0,335276.0,572333.0,342920,0
B20,North,2024-06-27,223115.0,317510.0,331436.0,237041,0
B30,East,2024-06-28,394713.0,133944.0,481941.0,742710,0
B11,East,2024-06-29,458624.0,243179.0,437403.0,652848,0
B28,South,2024-06-30,303347.0,417411.0,756823.0,642759,0
B25,East,2024-07-01,239052.0,,508444.0,668260,0
B39,East,2024-07-02,328495.0,306294.0,216105.0,238306,0
B33,South,2024-07-03,185203.0,413513.0,278097.0,49787,1
B1,West,2024-07-04,297908.0,321567.0,461674.0,438015,0
B27,West,2024-07-05,356969.0,44137.0,341519.0,654351,0
B13,East,2024-07-06,323493.0,69992.0,246940.0,500441,0
B41,West,2024-07-07,242003.0,,285001.0,114320,0
B3,West,2024-07-08,356398.0,155140.0,398715.0,599973,0
B39,East,2024-07-09,350369.0,215993.0,207928.0,342304,0
B6,West,2024-07-10,324597.0,161225.0,772290.0,935662,0
B8,East,2024-07-11,199886.0,369061.0,546997.0,377822,0
B27,North,2024-07-12,199335.0,375834.0,317517.0,141018,0
B9,South,2024-07-13,127694.0,336379.0,356089.0,147404,0
B37,South,2024-07-14,65735.0,250047.0,279064.0,94752,1
B33,West,2024-07-15,459046.0,59122.0,606529.0,1006453,0
B42,West,2024-07-16,360037.0,326100.0,594775.0,628712,0
B44,West,2024-07-17,225745.0,103879.0,250893.0,372759,0
B24,South,2024-07-18,439150.0,98560.0,477311.0,817901,0
B15,North,2024-07-19,270534.0,,762886.0,620966,0
B32,North,2024-07-20,95066.0,239757.0,338595.0,193904,0
B32,South,2024-07-21,281387.0,277268.0,621655.0,625774,0
B24,North,2024-07-22,184445.0,303312.0,578522.0,459655,0
B41,South,2024-07-23,453551.0,347268.0,281060.0,387343,0
B49,North,2024-07-24,,206969.0,604189.0,864177,0
B49,East,2024-07-25,322836.0,186104.0,585114.0,721846,0
B12,East,2024-07-26,490511.0,354941.0,746982.0,882552,0
B39,South,2024-07-27,95541.0,,461401.0,219504,0
B2,North,2024-07-28,215129.0,305660.0,733660.0,643129,0
B3,West,2024-07-29,116983.0,190823.0,355384.0,281544,0
B49,North,2024-07-30,200655.0,70373.0,345152.0,475434,0
B37,East,2024-07-31,203837.0,162026.0,220874.0,262685,0
B49,East,2024-08-01,240359.0,70270.0,655753.0,825842,0
B17,North,2024-08-02,467122.0,443602.0,594813.0,618333,0
B49,North,2024-08-03,432891.0,272931.0,735888.0,895848,0
B2,West,2024-08-04,397247.0,235889.0,671769.0,833127,0
B2,West,2024-08-05,,105184.0,305736.0,461299,0
B28,North,2024-08-06,227597.0,,612106.0,588938,0
B23,North,2024-08-07,219302.0,77879.0,655040.0,796463,0
B37,North,2024-08-08,462736.0,351741.0,335797.0,446792,0
B32,North,2024-08-09,495150.0,43626.0,,1087945,0
B33,South,2024-08-10,337710.0,125936.0,685077.0,896851,0
B1,North,2024-08-11,385337.0,274873.0,475236.0,585700,0
B19,West,2024-08-12,473350.0,121515.0,558062.0,909897,0
B2,East,2024-08-13,453561.0,248137.0,225457.0,430881,0
B44,South,2024-08-14,302084.0,95390.0,552895.0,759589,0
B26,North,2024-08-15,171015.0,449861.0,262894.0,-15952,1
B32,East,2024-08-16,222257.0,,785593.0,744818,0
B6,South,2024-08-17,296536.0,94144.0,409699.0,612091,0
B32,East,2024-08-18,274021.0,184454.0,200559.0,290126,0
B4,North,2024-08-19,180956.0,44025.0,237361.0,374292,0
B11,North,2024-08-20,120744.0,381524.0,517499.0,256719,0
B17,West,2024-08-21,345599.0,294043.0,560704.0,612260,0
B38,North,2024-08-22,471234.0,158910.0,443950.0,756274,0
B24,North,2024-08-23,366363.0,136055.0,,856068,0
B5,South,2024-08-24,358135.0,428333.0,200037.0,129839,0
B34,West,2024-08-25,123616.0,245782.0,671449.0,549283,0
B6,South,2024-08-26,137438.0,436659.0,503564.0,204343,0
B22,East,2024-08-27,166841.0,323539.0,707450.0,550752,0
B11,North,2024-08-28,190558.0,312869.0,458430.0,336119,0
B48,East,2024-08-29,219934.0,73461.0,758888.0,905361,0
B16,South,2024-08-30,302734.0,298072.0,457351.0,462013,0
B33,North,2024-08-31,108870.0,81115.0,724720.0,752475,0
B9,North,2024-09-01,136694.0,150084.0,793975.0,780585,0
B6,South,2024-09-02,287068.0,385876.0,685375.0,586567,0
B16,South,2024-09-03,356000.0,381701.0,385221.0,359520,0
B29,South,2024-09-04,151407.0,373404.0,,165843,0
B3,South,2024-09-05,81379.0,199762.0,653400.0,535017,0
B20,South,2024-09-06,376873.0,303551.0,495583.0,568905,0
B36,North,2024-09-07,471594.0,113568.0,364329.0,722355,0
B19,South,2024-09-08,286500.0,98560.0,375746.0,563686,0
B26,North,2024-09-09,104353.0,188866.0,513392.0,428879,0
B3,North,2024-09-10,231068.0,190953.0,,716933,0
B19,South,2024-09-11,326175.0,257364.0,661212.0,730023,0
B20,South,2024-09-12,261144.0,276770.0,654472.0,638846,0
B32,West,2024-09-13,115982.0,266024.0,759031.0,608989,0
B7,North,2024-09-14,86683.0,220775.0,399824.0,265732,0
B41,South,2024-09-15,164091.0,131288.0,401123.0,433926,0
B33,South,2024-09-16,167797.0,421164.0,,-31291,1
B40,South,2024-09-17,460834.0,401445.0,441424.0,500813,0
B39,West,2024-09-18,56587.0,289836.0,406384.0,173135,0
B18,West,2024-09-19,374934.0,54390.0,450699.0,771243,0
B40,East,2024-09-20,343624.0,258547.0,581361.0,666438,0
B1,North,2024-09-21,,67307.0,344938.0,557233,0
B11,East,2024-09-22,201599.0,267436.0,363377.0,297540,0
B28,South,2024-09-23,335713.0,,413968.0,484560,0
B25,West,2024-09-24,323295.0,291063.0,588388.0,620620,0
B50,West,2024-09-25,240246.0,64502.0,494957.0,670701,0
B23,East,2024-09-26,94739.0,62486.0,450703.0,482956,0
B31,West,2024-09-27,82954.0,413957.0,615882.0,284879,0
B30,South,2024-09-28,293935.0,209330.0,347702.0,432307,0
B42,West,2024-09-29,159373.0,228788.0,317907.0,248492,0
B35,East,2024-09-30,478519.0,268300.0,405591.0,615810,0
B7,South,2024-10-01,84700.0,143920.0,593852.0,534632,0
B16,East,2024-10-02,173728.0,252566.0,788879.0,710041,0
B26,West,2024-10-03,,384912.0,723869.0,717889,0
B48,East,2024-10-04,121045.0,443964.0,409633.0,86714,1
B49,East,2024-10-05,481058.0,102785.0,668032.0,1046305,0
B2,North,2024-10-06,,116050.0,648400.0,727322,0
B1,West,2024-10-07,440136.0,62738.0,328381.0,705779,0
B48,West,2024-10-08,392203.0,114231.0,557851.0,835823,0
B12,East,2024-10-09,51881.0,113606.0,543822.0,482097,0
B5,North,2024-10-10,476253.0,343806.0,797597.0,930044,0
B37,West,2024-10-11,444846.0,420457.0,688121.0,712510,0
B32,South,2024-10-12,332933.0,267369.0,,301946,0
B9,East,2024-10-13,438227.0,317267.0,223341.0,344301,0
B41,West,2024-10-14,138059.0,196688.0,426280.0,367651,0
B35,South,2024-10-15,264566.0,313326.0,400940.0,352180,0
B19,West,2024-10-16,358295.0,392513.0,605218.0,571000,0
B48,South,2024-10-17,492136.0,202403.0,259949.0,549682,0
B16,East,2024-10-18,159388.0,217170.0,608916.0,551134,0
B3,West,2024-10-19,248303.0,66128.0,786831.0,969006,0
B20,West,2024-10-20,315406.0,71556.0,683075.0,926925,0
B24,North,2024-10-21,379125.0,298470.0,712472.0,793127,0
B33,East,2024-10-22,433095.0,192948.0,527370.0,767517,0
B24,South,2024-10-23,435243.0,180021.0,,664073,0
B11,West,2024-10-24,131972.0,91962.0,359011.0,399021,0
B49,West,2024-10-25,387629.0,,654581.0,912156,0
B8,South,2024-10-26,104722.0,242278.0,267381.0,129825,0
B36,East,2024-10-27,401643.0,64099.0,478910.0,816454,0
B38,North,2024-10-28,231890.0,275943.0,302416.0,258363,0
B40,North,2024-10-29,473148.0,445932.0,737068.0,764284,0
B20,West,2024-10-30,319045.0,,248458.0,343820,0
B35,South,2024-10-31,167473.0,209957.0,711714.0,669230,0
B48,West,2024-11-01,320741.0,355288.0,701608.0,667061,0
B25,South,2024-11-02,441775.0,236292.0,551637.0,757120,0
B35,North,2024-11-03,376053.0,47837.0,627562.0,955778,0
B25,East,2024-11-04,384535.0,220427.0,377946.0,542054,0
B29,South,2024-11-05,265286.0,218371.0,231533.0,278448,0
B18,North,2024-11-06,451479.0,427356.0,584546.0,608669,0
B46,West,2024-11-07,375437.0,,463503.0,420116,0
B18,South,2024-11-08,293896.0,288003.0,,325012,0
B2,East,2024-11-09,206877.0,408946.0,421140.0,219071,0
B35,West,2024-11-10,61874.0,142413.0,482488.0,401949,0
B16,West,2024-11-11,274137.0,91012.0,531922.0,715047,0
B41,North,2024-11-12,398546.0,170193.0,482745.0,711098,0
B36,South,2024-11-13,326223.0,258168.0,445840.0,513895,0
B33,West,2024-11-14,493066.0,188178.0,563157.0,868045,0
B4,East,2024-11-15,384923.0,98123.0,711545.0,998345,0
B33,South,2024-11-16,145408.0,151825.0,,486509,0
B14,East,2024-11-17,,48720.0,643035.0,1046549,0
B21,West,2024-11-18,170606.0,208733.0,559267.0,521140,0
B48,East,2024-11-19,492716.0,286103.0,607124.0,813737,0
B20,North,2024-11-20,,264970.0,558332.0,463424,0
B8,East,2024-11-21,62100.0,264866.0,321292.0,118526,0
B7,South,2024-11-22,369165.0,190862.0,290570.0,468873,0
B3,East,2024-11-23,200872.0,98655.0,684540.0,786757,0
B17,East,2024-11-24,440270.0,230715.0,323791.0,533346,0
B33,North,2024-11-25,244472.0,133448.0,692545.0,803569,0
B48,East,2024-11-26,404590.0,218446.0,715689.0,901833,0
B12,East,2024-11-27,341581.0,213979.0,762602.0,890204,0
B22,West,2024-11-28,284196.0,221143.0,676984.0,740037,0
B22,West,2024-11-29,257609.0,160507.0,571024.0,668126,0
B46,South,2024-11-30,489891.0,336956.0,562470.0,715405,0
B30,West,2024-12-01,201014.0,351714.0,346903.0,196203,0
B38,West,2024-12-02,333006.0,353045.0,245708.0,225669,0
B38,West,2024-12-03,323813.0,100186.0,564550.0,788177,0
B45,West,2024-12-04,433363.0,,676040.0,947337,0
B8,North,2024-12-05,234844.0,430508.0,366866.0,171202,0
B27,West,2024-12-06,328060.0,221323.0,521516.0,628253,0
B27,North,2024-12-07,323022.0,,763765.0,850544,0
B34,North,2024-12-08,315129.0,76160.0,683157.0,922126,0
B21,West,2024-12-09,254720.0,59156.0,369809.0,565373,0
B30,East,2024-12-10,91235.0,116208.0,333692.0,308719,0
B33,North,2024-12-11,331075.0,189001.0,694166.0,836240,0
B28,East,2024-12-12,142876.0,,366129.0,237779,0
B47,East,2024-12-13,50336.0,281766.0,253024.0,21594,1
B33,West,2024-12-14,355077.0,235413.0,602893.0,722557,0
B5,South,2024-12-15,357680.0,397521.0,375183.0,335342,0
B48,West,2024-12-16,119504.0,345007.0,355146.0,129643,0
B19,South,2024-12-17,149214.0,252909.0,742112.0,638417,0
B4,South,2024-12-18,232220.0,105439.0,718534.0,845315,0
B35,West,2024-12-19,163936.0,178266.0,248926.0,234596,0
B49,West,2024-12-20,66279.0,242459.0,367932.0,191752,0
B17,South,2024-12-21,249737.0,161361.0,475119.0,563495,0
B44,West,2024-12-22,153751.0,252986.0,563114.0,463879,0
B28,South,2024-12-23,416577.0,237286.0,683791.0,863082,0
B30,East,2024-12-24,121386.0,398320.0,261562.0,-15372,1
B29,West,2024-12-25,136124.0,69777.0,502553.0,568900,0
B46,East,2024-12-26,417894.0,296427.0,725128.0,846595,0
B6,North,2024-12-27,,197255.0,231568.0,423942,0
B35,East,2024-12-28,386199.0,238110.0,397173.0,545262,0
B41,East,2024-12-29,141911.0,389345.0,329789.0,82355,1
B37,South,2024-12-30,410762.0,449414.0,569604.0,530952,0
B24,East,2024-12-31,247742.0,221649.0,701994.0,728087,0
B29,West,2025-01-01,497244.0,318011.0,274723.0,453956,0
B49,South,2025-01-02,271094.0,102501.0,,734931,0
B46,North,2025-01-03,426036.0,185338.0,781176.0,1021874,0
B31,West,2025-01-04,287723.0,341566.0,684441.0,630598,0
B35,North,2025-01-05,383272.0,206280.0,544620.0,721612,0
B33,East,2025-01-06,461324.0,161544.0,292416.0,592196,0
B21,West,2025-01-07,364639.0,178439.0,515315.0,701515,0
B32,West,2025-01-08,132806.0,295230.0,,188170,0
B23,North,2025-01-09,405329.0,75362.0,684976.0,1014943,0
B33,West,2025-01-10,257605.0,290449.0,233545.0,200701,0
B3,West,2025-01-11,,353732.0,385151.0,311516,0
B18,West,2025-01-12,495725.0,209357.0,235790.0,522158,0
B25,East,2025-01-13,247478.0,166683.0,775300.0,856095,0
B42,North,2025-01-14,220591.0,296157.0,317827.0,242261,0
B31,West,2025-01-15,361793.0,245827.0,460123.0,576089,0
B3,South,2025-01-16,215596.0,242918.0,214260.0,186938,0
B40,South,2025-01-17,214957.0,338451.0,396211.0,272717,0
B46,South,2025-01-18,487585.0,382424.0,635892.0,741053,0
B24,South,2025-01-19,282204.0,358667.0,340547.0,264084,0
B50,East,2025-01-20,407546.0,,409486.0,377438,0
B32,West,2025-01-21,342820.0,255757.0,346192.0,433255,0
B47,North,2025-01-22,376237.0,147669.0,616363.0,844931,0
B22,West,2025-01-23,490980.0,248030.0,464130.0,707080,0
B23,East,2025-01-24,231871.0,198998.0,255479.0,288352,0
B2,South,2025-01-25,391558.0,143215.0,676182.0,924525,0
B27,East,2025-01-26,,138707.0,592977.0,859509,0
B42,West,2025-01-27,293154.0,446396.0,464320.0,311078,0
B2,North,2025-01-28,122307.0,132837.0,439423.0,428893,0
B26,East,2025-01-29,407576.0,420214.0,577332.0,564694,0
B17,North,2025-01-30,344067.0,285847.0,284153.0,342373,0
B40,East,2025-01-31,429593.0,267544.0,620331.0,782380,0
B33,North,2025-02-01,285998.0,382016.0,277442.0,181424,0
B9,North,2025-02-02,359718.0,389880.0,257124.0,226962,0
B43,South,2025-02-03,486607.0,307614.0,511896.0,690889,0
B48,North,2025-02-04,171757.0,267467.0,459488.0,363778,0
B39,South,2025-02-05,103664.0,186025.0,,196586,0
B29,West,2025-02-06,379528.0,275652.0,641209.0,745085,0
B42,West,2025-02-07,343171.0,395113.0,296496.0,244554,0
B26,South,2025-02-08,216536.0,131493.0,513760.0,598803,0
B35,South,2025-02-09,346629.0,308667.0,462037.0,499999,0
B50,East,2025-02-10,309438.0,257995.0,701935.0,753378,0
B25,East,2025-02-11,200528.0,228262.0,570134.0,542400,0
B24,East,2025-02-12,347698.0,333313.0,422036.0,436421,0
B13,West,2025-02-13,359066.0,85641.0,666152.0,939577,0
B7,East,2025-02-14,325553.0,194062.0,535076.0,666567,0
B36,North,2025-02-15,250399.0,69661.0,469482.0,650220,0
B45,North,2025-02-16,272472.0,184491.0,373790.0,461771,0
B20,East,2025-02-17,348783.0,316601.0,343572.0,375754,0
B1,North,2025-02-18,281182.0,369744.0,342617.0,254055,0
B8,West,2025-02-19,331836.0,143619.0,785768.0,973985,0
B46,North,2025-02-20,139037.0,378246.0,420386.0,181177,0
B16,West,2025-02-21,,73085.0,204695.0,391522,0
B14,South,2025-02-22,235272.0,137064.0,738606.0,836814,0
B12,South,2025-02-23,274135.0,221726.0,615547.0,667956,0
B23,South,2025-02-24,238487.0,439346.0,583426.0,382567,0
B15,South,2025-02-25,68074.0,145723.0,291891.0,214242,0
B28,North,2025-02-26,196621.0,173114.0,670076.0,693583,0
B34,East,2025-02-27,342107.0,372278.0,268754.0,238583,0
B2,North,2025-02-28,277434.0,345126.0,596053.0,528361,0
B32,West,2025-03-01,282679.0,367329.0,587405.0,502755,0
B23,North,2025-03-02,102265.0,73477.0,713904.0,742692,0
B22,North,2025-03-03,66061.0,154161.0,567482.0,479382,0
B25,West,2025-03-04,209882.0,354853.0,764365.0,619394,0
B22,South,2025-03-05,163502.0,199788.0,542059.0,505773,0
B22,South,2025-03-06,334944.0,380281.0,441504.0,396167,0
B49,South,2025-03-07,428336.0,338162.0,,581987,0
B42,East,2025-03-08,,,342108.0,469480,0
B6,West,2025-03-09,157228.0,179681.0,345093.0,322640,0
B15,West,2025-03-10,256548.0,337515.0,713694.0,632727,0
B43,North,2025-03-11,340198.0,281422.0,313694.0,372470,0
B37,East,2025-03-12,226469.0,,,275760,0
B33,South,2025-03-13,63233.0,310001.0,412079.0,165311,0
B8,East,2025-03-14,292277.0,,444269.0,553854,0
B44,West,2025-03-15,206140.0,48177.0,643232.0,801195,0
B44,West,2025-03-16,377871.0,291842.0,616460.0,702489,0
B5,North,2025-03-17,402754.0,390722.0,656243.0,668275,0
